function,dimension,p_sigma_mode,generator,seed,p_sigma_seed,best_f,evaluations,reached_target
gaussian_noise,2,zero,pcg64,12,2000015,5.572416394361768e-07,20005,False
gaussian_noise,2,zero,pcg64,13,2000016,3.2723797840395175e-05,20005,False
gaussian_noise,2,zero,pcg64,14,2000017,6.0848522995533444e-06,20005,False
gaussian_noise,2,zero,pcg64,15,2000018,5.161705766701906e-05,20005,False
gaussian_noise,2,zero,pcg64,16,2000019,1.620695995470111e-05,20005,False
gaussian_noise,2,zero,pcg64,17,2000020,6.401520771826391e-05,20005,False
gaussian_noise,2,zero,pcg64,18,2000021,5.928890177396776e-06,20005,False
gaussian_noise,2,zero,pcg64,19,2000022,2.5434246003100964e-05,20005,False
gaussian_noise,2,zero,pcg64,20,2000023,1.6401405625616162e-05,20005,False
gaussian_noise,2,zero,pcg64,21,2000024,9.694616815000078e-05,20005,False
gaussian_noise,2,zero,pcg64,22,2000025,0.00015686015254583725,20005,False
gaussian_noise,2,zero,pcg64,23,2000026,7.716501066191215e-05,20005,False
gaussian_noise,2,zero,pcg64,24,2000027,5.741363720902278e-05,20005,False
gaussian_noise,2,zero,pcg64,25,2000028,4.1969085529893834e-05,20005,False
gaussian_noise,2,zero,pcg64,26,2000029,2.0462148865813453e-05,20005,False
gaussian_noise,2,zero,pcg64,27,2000030,1.4107468813896215e-05,20005,False
gaussian_noise,2,zero,pcg64,28,2000031,3.977334309507034e-05,20005,False
gaussian_noise,2,zero,pcg64,29,2000032,1.127360058669299e-05,20005,False
gaussian_noise,2,zero,pcg64,30,2000033,8.56211418815947e-05,20005,False
gaussian_noise,2,zero,mt19937,1,2000004,6.304443422371632e-06,20005,False
gaussian_noise,2,zero,mt19937,2,2000005,3.494492729262097e-05,20005,False
gaussian_noise,2,zero,mt19937,3,2000006,0.00011778338859292568,20005,False
gaussian_noise,2,zero,mt19937,4,2000007,0.00017154831443723015,20005,False
gaussian_noise,2,zero,mt19937,5,2000008,8.906834872348994e-05,20005,False
gaussian_noise,2,zero,mt19937,6,2000009,3.430032527874203e-05,20005,False
gaussian_noise,2,zero,mt19937,7,2000010,5.532532358457827e-06,20005,False
gaussian_noise,2,zero,mt19937,8,2000011,5.1753886168165775e-05,20005,False
gaussian_noise,2,zero,mt19937,9,2000012,6.221344973053884e-05,20005,False
gaussian_noise,2,zero,mt19937,10,2000013,2.0307926167895663e-05,20005,False
gaussian_noise,2,zero,mt19937,11,2000014,4.183739005380374e-05,20005,False
gaussian_noise,2,zero,mt19937,12,2000015,5.572416394361768e-07,20005,False
gaussian_noise,2,zero,mt19937,13,2000016,3.2723797840395175e-05,20005,False
gaussian_noise,2,zero,mt19937,14,2000017,6.0848522995533444e-06,20005,False
gaussian_noise,2,zero,mt19937,15,2000018,5.161705766701906e-05,20005,False
gaussian_noise,2,zero,mt19937,16,2000019,1.620695995470111e-05,20005,False
gaussian_noise,2,zero,mt19937,17,2000020,6.401520771826391e-05,20005,False
gaussian_noise,2,zero,mt19937,18,2000021,5.928890177396776e-06,20005,False
gaussian_noise,2,zero,mt19937,19,2000022,2.5434246003100964e-05,20005,False
gaussian_noise,2,zero,mt19937,20,2000023,1.6401405625616162e-05,20005,False
gaussian_noise,2,zero,mt19937,21,2000024,9.694616815000078e-05,20005,False
gaussian_noise,2,zero,mt19937,22,2000025,0.00015686015254583725,20005,False
gaussian_noise,2,zero,mt19937,23,2000026,7.716501066191215e-05,20005,False
gaussian_noise,2,zero,mt19937,24,2000027,5.741363720902278e-05,20005,False
gaussian_noise,2,zero,mt19937,25,2000028,4.1969085529893834e-05,20005,False
gaussian_noise,2,zero,mt19937,26,2000029,2.0462148865813453e-05,20005,False
gaussian_noise,2,zero,mt19937,27,2000030,1.4107468813896215e-05,20005,False
gaussian_noise,2,zero,mt19937,28,2000031,3.977334309507034e-05,20005,False
gaussian_noise,2,zero,mt19937,29,2000032,1.127360058669299e-05,20005,False
gaussian_noise,2,zero,mt19937,30,2000033,8.56211418815947e-05,20005,False
gaussian_noise,2,random,pcg64,1,2000004,6.304443422371632e-06,20005,False
gaussian_noise,2,random,pcg64,2,2000005,3.494492729262097e-05,20005,False
gaussian_noise,2,random,pcg64,3,2000006,0.00011778338859292568,20005,False
gaussian_noise,2,random,pcg64,4,2000007,0.00017154831443723015,20005,False
gaussian_noise,2,random,pcg64,5,2000008,8.906834872348994e-05,20005,False
gaussian_noise,2,random,pcg64,6,2000009,3.430032527874203e-05,20005,False
gaussian_noise,2,random,pcg64,7,2000010,5.532532358457827e-06,20005,False
gaussian_noise,2,random,pcg64,8,2000011,5.1753886168165775e-05,20005,False
gaussian_noise,2,random,pcg64,9,2000012,6.221344973053884e-05,20005,False
gaussian_noise,2,random,pcg64,10,2000013,2.0307926167895663e-05,20005,False
gaussian_noise,2,random,pcg64,11,2000014,4.183739005380374e-05,20005,False
gaussian_noise,2,random,pcg64,12,2000015,5.572416394361768e-07,20005,False
gaussian_noise,2,random,pcg64,13,2000016,3.2723797840395175e-05,20005,False
gaussian_noise,2,random,pcg64,14,2000017,6.0848522995533444e-06,20005,False
gaussian_noise,2,random,pcg64,15,2000018,5.161705766701906e-05,20005,False
gaussian_noise,2,random,pcg64,16,2000019,1.620695995470111e-05,20005,False
gaussian_noise,2,random,pcg64,17,2000020,6.401520771826391e-05,20005,False
gaussian_noise,2,random,pcg64,18,2000021,5.928890177396776e-06,20005,False
gaussian_noise,2,random,pcg64,19,2000022,2.5434246003100964e-05,20005,False
gaussian_noise,2,random,pcg64,20,2000023,1.6401405625616162e-05,20005,False
gaussian_noise,2,random,pcg64,21,2000024,9.694616815000078e-05,20005,False
gaussian_noise,2,random,pcg64,22,2000025,0.00015686015254583725,20005,False
gaussian_noise,2,random,pcg64,23,2000026,7.716501066191215e-05,20005,False
gaussian_noise,2,random,pcg64,24,2000027,5.741363720902278e-05,20005,False
gaussian_noise,2,random,pcg64,25,2000028,4.1969085529893834e-05,20005,False
gaussian_noise,2,random,pcg64,26,2000029,2.0462148865813453e-05,20005,False
gaussian_noise,2,random,pcg64,27,2000030,1.4107468813896215e-05,20005,False
gaussian_noise,2,random,pcg64,28,2000031,3.977334309507034e-05,20005,False
gaussian_noise,2,random,pcg64,29,2000032,1.127360058669299e-05,20005,False
gaussian_noise,2,random,pcg64,30,2000033,8.56211418815947e-05,20005,False
gaussian_noise,2,random,mt19937,1,2000004,6.304443422371632e-06,20005,False
gaussian_noise,2,random,mt19937,2,2000005,3.494492729262097e-05,20005,False
gaussian_noise,2,random,mt19937,3,2000006,0.00011778338859292568,20005,False
gaussian_noise,2,random,mt19937,4,2000007,0.00017154831443723015,20005,False
gaussian_noise,2,random,mt19937,5,2000008,8.906834872348994e-05,20005,False
gaussian_noise,2,random,mt19937,6,2000009,3.430032527874203e-05,20005,False
gaussian_noise,2,random,mt19937,7,2000010,5.532532358457827e-06,20005,False
gaussian_noise,2,random,mt19937,8,2000011,5.1753886168165775e-05,20005,False
gaussian_noise,2,random,mt19937,9,2000012,6.221344973053884e-05,20005,False
gaussian_noise,2,random,mt19937,10,2000013,2.0307926167895663e-05,20005,False
gaussian_noise,2,random,mt19937,11,2000014,4.183739005380374e-05,20005,False
gaussian_noise,2,random,mt19937,12,2000015,5.572416394361768e-07,20005,False
gaussian_noise,2,random,mt19937,13,2000016,3.2723797840395175e-05,20005,False
gaussian_noise,2,random,mt19937,14,2000017,6.0848522995533444e-06,20005,False
gaussian_noise,2,random,mt19937,15,2000018,5.161705766701906e-05,20005,False
gaussian_noise,2,random,mt19937,16,2000019,1.620695995470111e-05,20005,False
gaussian_noise,2,random,mt19937,17,2000020,6.401520771826391e-05,20005,False
gaussian_noise,2,random,mt19937,18,2000021,5.928890177396776e-06,20005,False
gaussian_noise,2,random,mt19937,19,2000022,2.5434246003100964e-05,20005,False
gaussian_noise,2,random,mt19937,20,2000023,1.6401405625616162e-05,20005,False
gaussian_noise,2,random,mt19937,21,2000024,9.694616815000078e-05,20005,False
gaussian_noise,2,random,mt19937,22,2000025,0.00015686015254583725,20005,False
gaussian_noise,2,random,mt19937,23,2000026,7.716501066191215e-05,20005,False
gaussian_noise,2,random,mt19937,24,2000027,5.741363720902278e-05,20005,False
gaussian_noise,2,random,mt19937,25,2000028,4.1969085529893834e-05,20005,False
gaussian_noise,2,random,mt19937,26,2000029,2.0462148865813453e-05,20005,False
gaussian_noise,2,random,mt19937,27,2000030,1.4107468813896215e-05,20005,False
gaussian_noise,2,random,mt19937,28,2000031,3.977334309507034e-05,20005,False
gaussian_noise,2,random,mt19937,29,2000032,1.127360058669299e-05,20005,False
gaussian_noise,2,random,mt19937,30,2000033,8.56211418815947e-05,20005,False
gaussian_noise,10,zero,pcg64,1,2000004,6.304443422371632e-06,20001,False
gaussian_noise,10,zero,pcg64,2,2000005,3.494492729262097e-05,20001,False
gaussian_noise,10,zero,pcg64,3,2000006,0.00011778338859292568,20001,False
gaussian_noise,10,zero,pcg64,4,2000007,0.00017154831443723015,20001,False
gaussian_noise,10,zero,pcg64,5,2000008,8.906834872348994e-05,20001,False
gaussian_noise,10,zero,pcg64,6,2000009,3.430032527874203e-05,20001,False
gaussian_noise,10,zero,pcg64,7,2000010,5.532532358457827e-06,20001,False
gaussian_noise,10,zero,pcg64,8,2000011,5.1753886168165775e-05,20001,False
gaussian_noise,10,zero,pcg64,9,2000012,6.221344973053884e-05,20001,False
gaussian_noise,10,zero,pcg64,10,2000013,2.0307926167895663e-05,20001,False
gaussian_noise,10,zero,pcg64,11,2000014,4.183739005380374e-05,20001,False
gaussian_noise,10,zero,pcg64,12,2000015,5.572416394361768e-07,20001,False
gaussian_noise,10,zero,pcg64,13,2000016,3.2723797840395175e-05,20001,False
gaussian_noise,10,zero,pcg64,14,2000017,6.0848522995533444e-06,20001,False
gaussian_noise,10,zero,pcg64,15,2000018,5.161705766701906e-05,20001,False
gaussian_noise,10,zero,pcg64,16,2000019,1.620695995470111e-05,20001,False
gaussian_noise,10,zero,pcg64,17,2000020,6.401520771826391e-05,20001,False
gaussian_noise,10,zero,pcg64,18,2000021,5.928890177396776e-06,20001,False
gaussian_noise,10,zero,pcg64,19,2000022,2.5434246003100964e-05,20001,False
gaussian_noise,10,zero,pcg64,20,2000023,1.6401405625616162e-05,20001,False
gaussian_noise,10,zero,pcg64,21,2000024,9.694616815000078e-05,20001,False
gaussian_noise,10,zero,pcg64,22,2000025,0.00015686015254583725,20001,False
gaussian_noise,10,zero,pcg64,23,2000026,7.716501066191215e-05,20001,False
gaussian_noise,10,zero,pcg64,24,2000027,5.741363720902278e-05,20001,False
gaussian_noise,10,zero,pcg64,25,2000028,4.1969085529893834e-05,20001,False
gaussian_noise,10,zero,pcg64,26,2000029,2.0462148865813453e-05,20001,False
gaussian_noise,10,zero,pcg64,27,2000030,1.4107468813896215e-05,20001,False
gaussian_noise,10,zero,pcg64,28,2000031,3.977334309507034e-05,20001,False
gaussian_noise,10,zero,pcg64,29,2000032,1.127360058669299e-05,20001,False
gaussian_noise,10,zero,pcg64,30,2000033,8.56211418815947e-05,20001,False
gaussian_noise,10,zero,mt19937,1,2000004,6.304443422371632e-06,20001,False
gaussian_noise,10,zero,mt19937,2,2000005,3.494492729262097e-05,20001,False
gaussian_noise,10,zero,mt19937,3,2000006,0.00011778338859292568,20001,False
gaussian_noise,10,zero,mt19937,4,2000007,0.00017154831443723015,20001,False
gaussian_noise,10,zero,mt19937,5,2000008,8.906834872348994e-05,20001,False
gaussian_noise,10,zero,mt19937,6,2000009,3.430032527874203e-05,20001,False
gaussian_noise,10,zero,mt19937,7,2000010,5.532532358457827e-06,20001,False
gaussian_noise,10,zero,mt19937,8,2000011,5.1753886168165775e-05,20001,False
gaussian_noise,10,zero,mt19937,9,2000012,6.221344973053884e-05,20001,False
gaussian_noise,10,zero,mt19937,10,2000013,2.0307926167895663e-05,20001,False
gaussian_noise,10,zero,mt19937,11,2000014,4.183739005380374e-05,20001,False
gaussian_noise,10,zero,mt19937,12,2000015,5.572416394361768e-07,20001,False
gaussian_noise,10,zero,mt19937,13,2000016,3.2723797840395175e-05,20001,False
gaussian_noise,10,zero,mt19937,14,2000017,6.0848522995533444e-06,20001,False
gaussian_noise,10,zero,mt19937,15,2000018,5.161705766701906e-05,20001,False
gaussian_noise,10,zero,mt19937,16,2000019,1.620695995470111e-05,20001,False
gaussian_noise,10,zero,mt19937,17,2000020,6.401520771826391e-05,20001,False
gaussian_noise,10,zero,mt19937,18,2000021,5.928890177396776e-06,20001,False
gaussian_noise,10,zero,mt19937,19,2000022,2.5434246003100964e-05,20001,False
gaussian_noise,10,zero,mt19937,20,2000023,1.6401405625616162e-05,20001,False
gaussian_noise,10,zero,mt19937,21,2000024,9.694616815000078e-05,20001,False
gaussian_noise,10,zero,mt19937,22,2000025,0.00015686015254583725,20001,False
gaussian_noise,10,zero,mt19937,23,2000026,7.716501066191215e-05,20001,False
gaussian_noise,10,zero,mt19937,24,2000027,5.741363720902278e-05,20001,False
gaussian_noise,10,zero,mt19937,25,2000028,4.1969085529893834e-05,20001,False
gaussian_noise,10,zero,mt19937,26,2000029,2.0462148865813453e-05,20001,False
gaussian_noise,10,zero,mt19937,27,2000030,1.4107468813896215e-05,20001,False
gaussian_noise,10,zero,mt19937,28,2000031,3.977334309507034e-05,20001,False
gaussian_noise,10,zero,mt19937,29,2000032,1.127360058669299e-05,20001,False
gaussian_noise,10,zero,mt19937,30,2000033,8.56211418815947e-05,20001,False
gaussian_noise,10,random,pcg64,1,2000004,6.304443422371632e-06,20001,False
gaussian_noise,10,random,pcg64,2,2000005,3.494492729262097e-05,20001,False
gaussian_noise,10,random,pcg64,3,2000006,0.00011778338859292568,20001,False
gaussian_noise,10,random,pcg64,4,2000007,0.00017154831443723015,20001,False
gaussian_noise,10,random,pcg64,5,2000008,8.906834872348994e-05,20001,False
gaussian_noise,10,random,pcg64,6,2000009,3.430032527874203e-05,20001,False
gaussian_noise,10,random,pcg64,7,2000010,5.532532358457827e-06,20001,False
gaussian_noise,10,random,pcg64,8,2000011,5.1753886168165775e-05,20001,False
gaussian_noise,10,random,pcg64,9,2000012,6.221344973053884e-05,20001,False
gaussian_noise,10,random,pcg64,10,2000013,2.0307926167895663e-05,20001,False
gaussian_noise,10,random,pcg64,11,2000014,4.183739005380374e-05,20001,False
gaussian_noise,10,random,pcg64,12,2000015,5.572416394361768e-07,20001,False
gaussian_noise,10,random,pcg64,13,2000016,3.2723797840395175e-05,20001,False
gaussian_noise,10,random,pcg64,14,2000017,6.0848522995533444e-06,20001,False
gaussian_noise,10,random,pcg64,15,2000018,5.161705766701906e-05,20001,False
gaussian_noise,10,random,pcg64,16,2000019,1.620695995470111e-05,20001,False
gaussian_noise,10,random,pcg64,17,2000020,6.401520771826391e-05,20001,False
gaussian_noise,10,random,pcg64,18,2000021,5.928890177396776e-06,20001,False
gaussian_noise,10,random,pcg64,19,2000022,2.5434246003100964e-05,20001,False
gaussian_noise,10,random,pcg64,20,2000023,1.6401405625616162e-05,20001,False
gaussian_noise,10,random,pcg64,21,2000024,9.694616815000078e-05,20001,False
gaussian_noise,10,random,pcg64,22,2000025,0.00015686015254583725,20001,False
gaussian_noise,10,random,pcg64,23,2000026,7.716501066191215e-05,20001,False
gaussian_noise,10,random,pcg64,24,2000027,5.741363720902278e-05,20001,False
gaussian_noise,10,random,pcg64,25,2000028,4.1969085529893834e-05,20001,False
gaussian_noise,10,random,pcg64,26,2000029,2.0462148865813453e-05,20001,False
gaussian_noise,10,random,pcg64,27,2000030,1.4107468813896215e-05,20001,False
gaussian_noise,10,random,pcg64,28,2000031,3.977334309507034e-05,20001,False
gaussian_noise,10,random,pcg64,29,2000032,1.127360058669299e-05,20001,False
gaussian_noise,10,random,pcg64,30,2000033,8.56211418815947e-05,20001,False
gaussian_noise,10,random,mt19937,1,2000004,6.304443422371632e-06,20001,False
gaussian_noise,10,random,mt19937,2,2000005,3.494492729262097e-05,20001,False
gaussian_noise,10,random,mt19937,3,2000006,0.00011778338859292568,20001,False
gaussian_noise,10,random,mt19937,4,2000007,0.00017154831443723015,20001,False
gaussian_noise,10,random,mt19937,5,2000008,8.906834872348994e-05,20001,False
gaussian_noise,10,random,mt19937,6,2000009,3.430032527874203e-05,20001,False
gaussian_noise,10,random,mt19937,7,2000010,5.532532358457827e-06,20001,False
gaussian_noise,10,random,mt19937,8,2000011,5.1753886168165775e-05,20001,False
gaussian_noise,10,random,mt19937,9,2000012,6.221344973053884e-05,20001,False
gaussian_noise,10,random,mt19937,10,2000013,2.0307926167895663e-05,20001,False
gaussian_noise,10,random,mt19937,11,2000014,4.183739005380374e-05,20001,False
gaussian_noise,10,random,mt19937,12,2000015,5.572416394361768e-07,20001,False
gaussian_noise,10,random,mt19937,13,2000016,3.2723797840395175e-05,20001,False
gaussian_noise,10,random,mt19937,14,2000017,6.0848522995533444e-06,20001,False
gaussian_noise,10,random,mt19937,15,2000018,5.161705766701906e-05,20001,False
gaussian_noise,10,random,mt19937,16,2000019,1.620695995470111e-05,20001,False
gaussian_noise,10,random,mt19937,17,2000020,6.401520771826391e-05,20001,False
gaussian_noise,10,random,mt19937,18,2000021,5.928890177396776e-06,20001,False
gaussian_noise,10,random,mt19937,19,2000022,2.5434246003100964e-05,20001,False
gaussian_noise,10,random,mt19937,20,2000023,1.6401405625616162e-05,20001,False
gaussian_noise,10,random,mt19937,21,2000024,9.694616815000078e-05,20001,False
gaussian_noise,10,random,mt19937,22,2000025,0.00015686015254583725,20001,False
gaussian_noise,10,random,mt19937,23,2000026,7.716501066191215e-05,20001,False
gaussian_noise,10,random,mt19937,24,2000027,5.741363720902278e-05,20001,False
gaussian_noise,10,random,mt19937,25,2000028,4.1969085529893834e-05,20001,False
gaussian_noise,10,random,mt19937,26,2000029,2.0462148865813453e-05,20001,False
gaussian_noise,10,random,mt19937,27,2000030,1.4107468813896215e-05,20001,False
gaussian_noise,10,random,mt19937,28,2000031,3.977334309507034e-05,20001,False
gaussian_noise,10,random,mt19937,29,2000032,1.127360058669299e-05,20001,False
gaussian_noise,10,random,mt19937,30,2000033,8.56211418815947e-05,20001,False
gaussian_noise,30,zero,pcg64,1,2000004,6.304443422371632e-06,20007,False
gaussian_noise,30,zero,pcg64,2,2000005,3.494492729262097e-05,20007,False
gaussian_noise,30,zero,pcg64,3,2000006,0.00011778338859292568,20007,False
gaussian_noise,30,zero,pcg64,4,2000007,0.00017154831443723015,20007,False
gaussian_noise,30,zero,pcg64,5,2000008,8.906834872348994e-05,20007,False
gaussian_noise,30,zero,pcg64,6,2000009,3.430032527874203e-05,20007,False
gaussian_noise,30,zero,pcg64,7,2000010,5.532532358457827e-06,20007,False
gaussian_noise,30,zero,pcg64,8,2000011,5.1753886168165775e-05,20007,False
gaussian_noise,30,zero,pcg64,9,2000012,6.221344973053884e-05,20007,False
gaussian_noise,30,zero,pcg64,10,2000013,2.0307926167895663e-05,20007,False
gaussian_noise,30,zero,pcg64,11,2000014,4.183739005380374e-05,20007,False
gaussian_noise,30,zero,pcg64,12,2000015,5.572416394361768e-07,20007,False
gaussian_noise,30,zero,pcg64,13,2000016,3.2723797840395175e-05,20007,False
gaussian_noise,30,zero,pcg64,14,2000017,6.0848522995533444e-06,20007,False
gaussian_noise,30,zero,pcg64,15,2000018,5.161705766701906e-05,20007,False
gaussian_noise,30,zero,pcg64,16,2000019,1.620695995470111e-05,20007,False
gaussian_noise,30,zero,pcg64,17,2000020,6.401520771826391e-05,20007,False
gaussian_noise,30,zero,pcg64,18,2000021,5.928890177396776e-06,20007,False
gaussian_noise,30,zero,pcg64,19,2000022,2.5434246003100964e-05,20007,False
gaussian_noise,30,zero,pcg64,20,2000023,1.6401405625616162e-05,20007,False
gaussian_noise,30,zero,pcg64,21,2000024,9.694616815000078e-05,20007,False
gaussian_noise,30,zero,pcg64,22,2000025,0.00015686015254583725,20007,False
gaussian_noise,30,zero,pcg64,23,2000026,7.716501066191215e-05,20007,False
gaussian_noise,30,zero,pcg64,24,2000027,5.741363720902278e-05,20007,False
gaussian_noise,30,zero,pcg64,25,2000028,4.1969085529893834e-05,20007,False
gaussian_noise,30,zero,pcg64,26,2000029,2.0462148865813453e-05,20007,False
gaussian_noise,30,zero,pcg64,27,2000030,1.4107468813896215e-05,20007,False
gaussian_noise,30,zero,pcg64,28,2000031,3.977334309507034e-05,20007,False
gaussian_noise,30,zero,pcg64,29,2000032,1.127360058669299e-05,20007,False
gaussian_noise,30,zero,pcg64,30,2000033,8.56211418815947e-05,20007,False
gaussian_noise,30,zero,mt19937,1,2000004,6.304443422371632e-06,20007,False
gaussian_noise,30,zero,mt19937,2,2000005,3.494492729262097e-05,20007,False
gaussian_noise,30,zero,mt19937,3,2000006,0.00011778338859292568,20007,False
gaussian_noise,30,zero,mt19937,4,2000007,0.00017154831443723015,20007,False
gaussian_noise,30,zero,mt19937,5,2000008,8.906834872348994e-05,20007,False
gaussian_noise,30,zero,mt19937,6,2000009,3.430032527874203e-05,20007,False
gaussian_noise,30,zero,mt19937,7,2000010,5.532532358457827e-06,20007,False
gaussian_noise,30,zero,mt19937,8,2000011,5.1753886168165775e-05,20007,False
gaussian_noise,30,zero,mt19937,9,2000012,6.221344973053884e-05,20007,False
gaussian_noise,30,zero,mt19937,10,2000013,2.0307926167895663e-05,20007,False
gaussian_noise,30,zero,mt19937,11,2000014,4.183739005380374e-05,20007,False
gaussian_noise,30,zero,mt19937,12,2000015,5.572416394361768e-07,20007,False
gaussian_noise,30,zero,mt19937,13,2000016,3.2723797840395175e-05,20007,False
gaussian_noise,30,zero,mt19937,14,2000017,6.0848522995533444e-06,20007,False
gaussian_noise,30,zero,mt19937,15,2000018,5.161705766701906e-05,20007,False
gaussian_noise,30,zero,mt19937,16,2000019,1.620695995470111e-05,20007,False
gaussian_noise,30,zero,mt19937,17,2000020,6.401520771826391e-05,20007,False
gaussian_noise,30,zero,mt19937,18,2000021,5.928890177396776e-06,20007,False
gaussian_noise,30,zero,mt19937,19,2000022,2.5434246003100964e-05,20007,False
gaussian_noise,30,zero,mt19937,20,2000023,1.6401405625616162e-05,20007,False
gaussian_noise,30,zero,mt19937,21,2000024,9.694616815000078e-05,20007,False
gaussian_noise,30,zero,mt19937,22,2000025,0.00015686015254583725,20007,False
gaussian_noise,30,zero,mt19937,23,2000026,7.716501066191215e-05,20007,False
gaussian_noise,30,zero,mt19937,24,2000027,5.741363720902278e-05,20007,False
gaussian_noise,30,zero,mt19937,25,2000028,4.1969085529893834e-05,20007,False
gaussian_noise,30,zero,mt19937,26,2000029,2.0462148865813453e-05,20007,False
gaussian_noise,30,zero,mt19937,27,2000030,1.4107468813896215e-05,20007,False
gaussian_noise,30,zero,mt19937,28,2000031,3.977334309507034e-05,20007,False
gaussian_noise,30,zero,mt19937,29,2000032,1.127360058669299e-05,20007,False
gaussian_noise,30,zero,mt19937,30,2000033,8.56211418815947e-05,20007,False
gaussian_noise,30,random,pcg64,1,2000004,6.304443422371632e-06,20007,False
gaussian_noise,30,random,pcg64,2,2000005,3.494492729262097e-05,20007,False
gaussian_noise,30,random,pcg64,3,2000006,0.00011778338859292568,20007,False
gaussian_noise,30,random,pcg64,4,2000007,0.00017154831443723015,20007,False
gaussian_noise,30,random,pcg64,5,2000008,8.906834872348994e-05,20007,False
gaussian_noise,30,random,pcg64,6,2000009,3.430032527874203e-05,20007,False
gaussian_noise,30,random,pcg64,7,2000010,5.532532358457827e-06,20007,False
gaussian_noise,30,random,pcg64,8,2000011,5.1753886168165775e-05,20007,False
gaussian_noise,30,random,pcg64,9,2000012,6.221344973053884e-05,20007,False
gaussian_noise,30,random,pcg64,10,2000013,2.0307926167895663e-05,20007,False
gaussian_noise,30,random,pcg64,11,2000014,4.183739005380374e-05,20007,False
gaussian_noise,30,random,pcg64,12,2000015,5.572416394361768e-07,20007,False
gaussian_noise,30,random,pcg64,13,2000016,3.2723797840395175e-05,20007,False
gaussian_noise,30,random,pcg64,14,2000017,6.0848522995533444e-06,20007,False
gaussian_noise,30,random,pcg64,15,2000018,5.161705766701906e-05,20007,False
gaussian_noise,30,random,pcg64,16,2000019,1.620695995470111e-05,20007,False
gaussian_noise,30,random,pcg64,17,2000020,6.401520771826391e-05,20007,False
gaussian_noise,30,random,pcg64,18,2000021,5.928890177396776e-06,20007,False
gaussian_noise,30,random,pcg64,19,2000022,2.5434246003100964e-05,20007,False
gaussian_noise,30,random,pcg64,20,2000023,1.6401405625616162e-05,20007,False
gaussian_noise,30,random,pcg64,21,2000024,9.694616815000078e-05,20007,False
gaussian_noise,30,random,pcg64,22,2000025,0.00015686015254583725,20007,False
gaussian_noise,30,random,pcg64,23,2000026,7.716501066191215e-05,20007,False
gaussian_noise,30,random,pcg64,24,2000027,5.741363720902278e-05,20007,False
gaussian_noise,30,random,pcg64,25,2000028,4.1969085529893834e-05,20007,False
gaussian_noise,30,random,pcg64,26,2000029,2.0462148865813453e-05,20007,False
gaussian_noise,30,random,pcg64,27,2000030,1.4107468813896215e-05,20007,False
gaussian_noise,30,random,pcg64,28,2000031,3.977334309507034e-05,20007,False
gaussian_noise,30,random,pcg64,29,2000032,1.127360058669299e-05,20007,False
gaussian_noise,30,random,pcg64,30,2000033,8.56211418815947e-05,20007,False
gaussian_noise,30,random,mt19937,1,2000004,6.304443422371632e-06,20007,False
gaussian_noise,30,random,mt19937,2,2000005,3.494492729262097e-05,20007,False
gaussian_noise,30,random,mt19937,3,2000006,0.00011778338859292568,20007,False
gaussian_noise,30,random,mt19937,4,2000007,0.00017154831443723015,20007,False
gaussian_noise,30,random,mt19937,5,2000008,8.906834872348994e-05,20007,False
gaussian_noise,30,random,mt19937,6,2000009,3.430032527874203e-05,20007,False
gaussian_noise,30,random,mt19937,7,2000010,5.532532358457827e-06,20007,False
gaussian_noise,30,random,mt19937,8,2000011,5.1753886168165775e-05,20007,False
gaussian_noise,30,random,mt19937,9,2000012,6.221344973053884e-05,20007,False
gaussian_noise,30,random,mt19937,10,2000013,2.0307926167895663e-05,20007,False
gaussian_noise,30,random,mt19937,11,2000014,4.183739005380374e-05,20007,False
gaussian_noise,30,random,mt19937,12,2000015,5.572416394361768e-07,20007,False
gaussian_noise,30,random,mt19937,13,2000016,3.2723797840395175e-05,20007,False
gaussian_noise,30,random,mt19937,14,2000017,6.0848522995533444e-06,20007,False
gaussian_noise,30,random,mt19937,15,2000018,5.161705766701906e-05,20007,False
gaussian_noise,30,random,mt19937,16,2000019,1.620695995470111e-05,20007,False
gaussian_noise,30,random,mt19937,17,2000020,6.401520771826391e-05,20007,False
gaussian_noise,30,random,mt19937,18,2000021,5.928890177396776e-06,20007,False
gaussian_noise,30,random,mt19937,19,2000022,2.5434246003100964e-05,20007,False
gaussian_noise,30,random,mt19937,20,2000023,1.6401405625616162e-05,20007,False
gaussian_noise,30,random,mt19937,21,2000024,9.694616815000078e-05,20007,False
gaussian_noise,30,random,mt19937,22,2000025,0.00015686015254583725,20007,False
gaussian_noise,30,random,mt19937,23,2000026,7.716501066191215e-05,20007,False
gaussian_noise,30,random,mt19937,24,2000027,5.741363720902278e-05,20007,False
gaussian_noise,30,random,mt19937,25,2000028,4.1969085529893834e-05,20007,False
gaussian_noise,30,random,mt19937,26,2000029,2.0462148865813453e-05,20007,False
gaussian_noise,30,random,mt19937,27,2000030,1.4107468813896215e-05,20007,False
gaussian_noise,30,random,mt19937,28,2000031,3.977334309507034e-05,20007,False
gaussian_noise,30,random,mt19937,29,2000032,1.127360058669299e-05,20007,False
gaussian_noise,30,random,mt19937,30,2000033,8.56211418815947e-05,20007,False
