function,dimension,p_sigma_mode,initial_sigma,seed,best_f,evaluations,reached_target
sphere,2,random,2.0,6,1.9945892602523784e-09,247,True
sphere,2,random,2.0,7,2.3805095262484793e-09,205,True
sphere,2,random,2.0,8,2.874574001349813e-09,247,True
sphere,2,random,2.0,9,1.327593598002195e-09,217,True
sphere,2,random,2.0,10,7.673789267455368e-09,313,True
sphere,2,random,5.0,1,3.6548357163383234e-09,289,True
sphere,2,random,5.0,2,6.820941528028135e-09,235,True
sphere,2,random,5.0,3,1.2279957626211683e-09,259,True
sphere,2,random,5.0,4,5.118682265585997e-09,253,True
sphere,2,random,5.0,5,4.418171793290614e-09,295,True
sphere,2,random,5.0,6,1.8164019295045058e-09,271,True
sphere,2,random,5.0,7,5.992962210984275e-09,301,True
sphere,2,random,5.0,8,9.119491205304858e-09,319,True
sphere,2,random,5.0,9,3.8979860342243224e-10,307,True
sphere,2,random,5.0,10,7.27963716931233e-09,277,True
sphere,10,zero,0.1,1,6.227724547957536e-09,1511,True
sphere,10,zero,0.1,2,8.662937235601855e-09,1551,True
sphere,10,zero,0.1,3,6.582958592473595e-09,1661,True
sphere,10,zero,0.1,4,9.788173182354893e-09,1731,True
sphere,10,zero,0.1,5,6.461993824926206e-09,1651,True
sphere,10,zero,0.1,6,9.523294919809543e-09,1631,True
sphere,10,zero,0.1,7,7.511386805076878e-09,1511,True
sphere,10,zero,0.1,8,8.800341504219234e-09,1501,True
sphere,10,zero,0.1,9,6.815494668890168e-09,1681,True
sphere,10,zero,0.1,10,9.111629101639305e-09,1601,True
sphere,10,zero,0.3,1,9.221692806736292e-09,1461,True
sphere,10,zero,0.3,2,6.375784293986837e-09,1511,True
sphere,10,zero,0.3,3,6.5844747942377966e-09,1481,True
sphere,10,zero,0.3,4,9.512987727423845e-09,1461,True
sphere,10,zero,0.3,5,6.67595011600346e-09,1481,True
sphere,10,zero,0.3,6,7.144684068682412e-09,1441,True
sphere,10,zero,0.3,7,5.900648193270425e-09,1531,True
sphere,10,zero,0.3,8,9.850064614837204e-09,1731,True
sphere,10,zero,0.3,9,5.216840040388842e-09,1741,True
sphere,10,zero,0.3,10,8.97984979935434e-09,1571,True
sphere,10,zero,0.5,1,9.946089080729275e-09,1641,True
sphere,10,zero,0.5,2,8.017256913505043e-09,1571,True
sphere,10,zero,0.5,3,9.832256481936338e-09,1421,True
sphere,10,zero,0.5,4,9.739631063204673e-09,1511,True
sphere,10,zero,0.5,5,9.164036556730527e-09,1641,True
sphere,10,zero,0.5,6,8.13939118506798e-09,1471,True
sphere,10,zero,0.5,7,8.508038480396943e-09,1511,True
sphere,10,zero,0.5,8,9.489866587777696e-09,1421,True
sphere,10,zero,0.5,9,8.903163087882268e-09,1631,True
sphere,10,zero,0.5,10,6.7490192877520195e-09,1581,True
sphere,10,zero,1.0,1,9.976247188599738e-09,1441,True
sphere,10,zero,1.0,2,5.19647336900918e-09,1401,True
sphere,10,zero,1.0,3,7.63172266958099e-09,1451,True
sphere,10,zero,1.0,4,6.493803517218331e-09,1571,True
sphere,10,zero,1.0,5,5.568284706868191e-09,1421,True
sphere,10,zero,1.0,6,7.711384021003097e-09,1431,True
sphere,10,zero,1.0,7,8.388241398813351e-09,1591,True
sphere,10,zero,1.0,8,8.470529270810857e-09,1361,True
sphere,10,zero,1.0,9,8.426143606213408e-09,1561,True
sphere,10,zero,1.0,10,5.2063376390201035e-09,1511,True
sphere,10,zero,2.0,1,7.3079024445284256e-09,1381,True
sphere,10,zero,2.0,2,7.463804907042249e-09,1401,True
sphere,10,zero,2.0,3,7.347381705285634e-09,1551,True
sphere,10,zero,2.0,4,6.730446264263839e-09,1501,True
sphere,10,zero,2.0,5,7.588396007057914e-09,1521,True
sphere,10,zero,2.0,6,9.674360894667387e-09,1481,True
sphere,10,zero,2.0,7,7.40976274789518e-09,1511,True
sphere,10,zero,2.0,8,9.285542013914074e-09,1491,True
sphere,10,zero,2.0,9,8.49354499988156e-09,1491,True
sphere,10,zero,2.0,10,7.711576889703734e-09,1591,True
sphere,10,zero,5.0,1,7.602788784528345e-09,1501,True
sphere,10,zero,5.0,2,6.927432897803142e-09,1431,True
sphere,10,zero,5.0,3,8.580906166677457e-09,1501,True
sphere,10,zero,5.0,4,7.952311652571885e-09,1451,True
sphere,10,zero,5.0,5,9.934204830744411e-09,1701,True
sphere,10,zero,5.0,6,9.415524206136954e-09,1501,True
sphere,10,zero,5.0,7,7.388021514108093e-09,1501,True
sphere,10,zero,5.0,8,9.912439155556154e-09,1461,True
